date,target_level_max,target_level_mean,target_level_min,target_level_std,grafton_level,hermann_level,daily_precip,daily_temp_avg,daily_snowfall,daily_humidity,daily_wind,precip_7d,precip_14d,precip_30d,soil_deep_30d,heavy_rain_48h,is_flood,is_major_flood
2010-10-23,14.69,14.311250000000001,13.57,0.38458687603373953,15.79,11.39,0.0,21.883333333333336,0.0,35.083333333333336,19.933333333333334,0.49999999999999645,6.100000000000008,17.800000000000004,0.23754074074074072,0,0,0
2010-10-24,13.72,13.5,13.07,0.2349873350183961,16.02,11.3,5.3,21.45,0.0,56.708333333333336,17.741666666666667,0.49999999999999645,6.100000000000008,16.216666666666672,0.2373233796296296,0,0,0
2010-10-25,13.21,12.852916666666667,12.45,0.22060153270520325,16.08,11.23,0.3,20.954166666666666,0.0,74.25,20.366666666666667,4.341666666666663,9.941666666666675,15.141666666666671,0.23711006944444446,0,0,0
2010-10-26,12.89,12.569166666666668,12.36,0.17138607996508098,16.08,11.35,10.1,18.395833333333332,0.0,48.75,24.366666666666664,8.63333333333333,14.59583333333334,18.00833333333334,0.23688258101851853,1,0,0
2010-10-27,12.41,12.317826086956522,12.24,0.042954153332798096,15.78,11.53,0.0,16.833333333333332,0.0,29.125,21.204166666666666,15.699999999999996,21.50833333333334,23.400000000000006,0.23662916666666667,0,0,0
2010-10-28,12.39,12.194166666666668,12.0,0.1378693983975158,15.86,11.43,0.0,9.466666666666667,0.0,47.583333333333336,16.716666666666665,15.699999999999996,16.200000000000006,23.400000000000006,0.2363625,0,0,0
2010-10-29,12.07,11.86875,11.59,0.1673401248693932,16.09,11.25,0.0,8.054166666666667,0.0,53.291666666666664,6.825,15.699999999999996,16.200000000000006,23.400000000000006,0.2360958333333333,0,0,0
2010-10-30,12.17,11.812083333333334,11.39,0.2922324739664977,16.29,11.17,0.0,12.379166666666668,0.0,46.166666666666664,12.008333333333333,15.699999999999996,16.200000000000006,23.400000000000006,0.23582916666666665,0,0,0
2010-10-31,12.11,11.712916666666667,10.99,0.38342256365378374,15.81,11.2,0.2,11.066666666666668,0.0,59.541666666666664,13.174999999999999,15.699999999999996,16.200000000000006,23.400000000000006,0.2355572916666667,0,0,0
2010-11-01,10.85,10.592083333333333,10.36,0.1642897537535622,15.68,11.25,0.0,10.454166666666667,0.0,43.666666666666664,13.5875,11.987499999999997,16.329166666666673,23.304166666666674,0.23528356481481483,0,0,0
2010-11-02,10.85,10.5925,10.22,0.16057640738506904,15.73,11.31,0.0,9.541666666666666,0.0,45.375,11.608333333333334,7.404166666666662,16.037500000000005,22.00000000000001,0.23499814814814815,0,0,0
2010-11-03,11.56,10.829583333333334,10.17,0.4383911214455861,15.95,11.35,0.0,10.066666666666666,0.0,49.083333333333336,9.179166666666667,0.1999999999999965,15.900000000000006,22.00000000000001,0.23471701388888888,0,0,0
2010-11-04,12.29,12.072083333333333,11.65,0.2043224043699953,16.01,11.22,0.0,9.733333333333333,0.0,48.0,21.008333333333333,0.1999999999999965,15.900000000000006,22.00000000000001,0.23444583333333333,0,0,0
2010-11-05,12.26,12.1075,11.92,0.07963230718638177,15.84,11.57,0.0,5.516666666666667,0.0,47.333333333333336,15.299999999999999,0.1999999999999965,15.900000000000006,22.00000000000001,0.2341791666666667,0,0,0
2010-11-06,12.72,12.3975,12.16,0.17879427089352765,15.98,11.16,0.0,5.0625,0.0,50.125,6.966666666666666,0.1999999999999965,15.900000000000006,22.00000000000001,0.2339125,0,0,0
2010-11-07,12.78,12.583599999999999,12.33,0.14267912718170697,15.88,11.07,0.0,10.945833333333333,0.0,39.291666666666664,13.804166666666667,0.1999999999999965,15.900000000000006,22.00000000000001,0.23366180555555557,0,0,0
2010-11-08,12.37,12.235416666666666,12.09,0.08224984031524987,15.91,10.68,0.0,13.645833333333334,0.0,41.916666666666664,12.316666666666668,0.07083333333333201,12.058333333333339,22.00000000000001,0.23341811342592592,0,0,0
2010-11-09,12.35,12.176666666666668,11.97,0.08025322242841701,15.95,10.53,0.0,14.941666666666668,0.0,53.833333333333336,11.362499999999999,0.0,7.404166666666673,22.00000000000001,0.2331675347222222,0,0,0
2010-11-10,12.17,12.077083333333334,11.97,0.0579714447447802,15.87,10.49,0.0,16.366666666666667,0.0,61.333333333333336,14.0875,0.0,0.20000000000000714,22.00000000000001,0.23292430555555557,0,0,0
2010-11-11,12.25,12.145833333333334,11.97,0.07632406120510464,15.8,10.5,0.30000000000000004,17.599999999999998,0.0,68.625,6.995833333333334,0.0583333333333326,0.25833333333334046,22.05833333333334,0.23269097222222224,0,0,0
2010-11-12,12.13,12.010416666666666,11.8,0.07849005290988817,15.96,10.47,0.0,16.6125,0.0,49.25,11.775,0.2999999999999965,0.5000000000000071,22.008333333333336,0.23247500000000001,0,0,0
2010-11-13,12.36,12.083333333333334,11.74,0.15802219620279154,16.03,10.51,3.8,11.633333333333333,0.0,60.541666666666664,18.2625,1.4749999999999963,1.675000000000007,17.875000000000004,0.232275,0,0,0
2010-11-14,11.98,11.793333333333335,11.5,0.16412261234838446,16.02,10.63,0.0,7.8,0.0,49.791666666666664,11.254166666666668,4.099999999999996,4.300000000000007,20.500000000000004,0.23207170138888888,0,0,0
2010-11-15,11.79,11.520416666666668,11.41,0.09200563152266314,15.96,11.25,0.0,8.4125,0.0,54.333333333333336,9.370833333333334,4.099999999999996,4.1708333333333405,20.500000000000004,0.23186493055555557,0,0,0
2010-11-16,12.66,12.156666666666666,11.82,0.2505240883439744,16.02,12.33,0.0,7.045833333333333,0.0,61.416666666666664,7.241666666666667,4.099999999999996,4.100000000000007,20.500000000000004,0.23165833333333333,0,0,0
2010-11-17,13.82,13.254583333333334,12.73,0.31980944280953416,16.06,13.13,2.9,7.8374999999999995,0.0,71.58333333333333,7.491666666666667,4.099999999999996,4.100000000000007,20.500000000000004,0.23145833333333335,0,0,0
2010-11-18,14.08,13.95375,13.81,0.0697705868013771,16.04,12.81,2.1999999999999997,5.341666666666666,0.0,74.58333333333333,8.170833333333333,6.741666666666663,6.800000000000007,22.837500000000006,0.23127297453703707,0,0,0
2010-11-19,13.77,13.21375,12.7,0.32082519281974425,15.91,11.99,0.0,8.204166666666667,0.0,65.25,14.579166666666666,8.899999999999995,9.200000000000006,25.100000000000005,0.23110624999999999,0,0,0
2010-11-20,12.87,12.555416666666666,12.11,0.2826117196047797,15.88,11.65,0.0,8.691666666666666,0.0,77.875,10.475,7.724999999999995,9.200000000000006,25.100000000000005,0.23093958333333334,0,0,0
2010-11-21,12.32,12.237499999999999,11.98,0.08162746767026967,16.14,11.4,0.30000000000000004,13.529166666666667,0.0,84.04166666666667,19.8125,5.099999999999996,9.200000000000006,25.100000000000005,0.2307857638888889,0,0,0
2010-11-22,12.55,12.147083333333333,11.99,0.1373183912653732,16.16,11.05,15.200000000000001,18.037499999999998,0.0,80.33333333333333,22.704166666666666,5.8124999999999964,9.912500000000007,25.812500000000004,0.23065000000000002,1,0,0
2010-11-23,12.71,12.33,11.93,0.2768455855903585,16.0,10.95,0.0,5.625,0.0,56.458333333333336,10.716666666666667,16.249999999999996,20.350000000000005,36.25,0.23051666666666668,1,0,0
2010-11-24,13.86,12.666666666666666,11.9,0.7225779131551914,16.3,10.9,30.0,5.858333333333333,0.0,85.91666666666667,17.266666666666666,22.816666666666663,26.91666666666667,38.975,0.23038454861111113,1,0,0
2010-11-25,15.7,15.172083333333333,13.93,0.5688736328438203,16.29,11.53,33.3,5.3125,1.6800000000000002,75.79166666666667,15.375,54.083333333333336,60.82500000000001,68.28750000000001,0.23029600694444444,1,0,0
2010-11-26,15.44,15.251666666666667,14.98,0.11585848439280276,16.05,12.34,0.0,0.7708333333333334,0.0,42.5,13.116666666666667,78.4375,87.33749999999999,87.83749999999999,0.23058854166666667,1,0,0
2010-11-27,14.99,14.37375,13.73,0.44162557916623557,15.87,11.6,0.0,2.4375,0.0,67.16666666666667,9.174999999999999,78.8,86.52499999999999,88.2,0.2313649305555556,1,0,0
2010-11-28,13.67,13.072916666666666,12.55,0.38448700059064095,15.84,11.3,0.0,4.691666666666666,0.0,66.625,16.037499999999998,78.8,83.9,88.2,0.23231753472222225,0,0,0
2010-11-29,12.58,12.255416666666667,12.0,0.1944441166318845,15.83,11.33,14.4,8.566666666666666,0.0,76.95833333333333,18.658333333333335,78.08749999999999,83.9,88.2,0.23337760416666667,0,0,0
2010-11-30,12.35,11.928695652173914,10.92,0.4512236328013186,15.63,10.93,0.0,2.75,0.0,57.625,20.55,79.20833333333333,95.45833333333336,99.75833333333334,0.2345455439814815,0,0,0
2010-12-01,10.88,10.677916666666667,10.29,0.15531116499149242,15.87,10.54,0.0,-1.0666666666666667,0.0,53.083333333333336,15.612499999999999,75.48333333333332,98.30000000000001,102.47083333333335,0.23594976851851854,0,0,0
2010-12-02,10.22,9.631304347826088,9.13,0.33731970737008077,15.79,10.34,0.0,0.11250000000000003,0.21000000000000002,61.291666666666664,7.029166666666666,41.516666666666666,95.60000000000001,102.40000000000002,0.237541087962963,0,0,0
2010-12-03,9.97,9.647391304347826,9.37,0.16646641461170453,15.84,10.49,0.0,0.46249999999999997,0.0,69.0,9.366666666666667,14.762499999999996,93.2,102.40000000000002,0.23923767361111112,0,0,0
2010-12-04,10.57,10.1175,9.66,0.2816758852792095,16.13,10.48,0.8,1.4249999999999998,0.0,68.04166666666667,17.595833333333335,14.766666666666664,93.56666666666666,102.76666666666667,0.24100873842592593,0,0,0
2010-12-05,10.62,10.370416666666666,10.11,0.14047989695780386,16.03,10.46,0.0,-2.0833333333333335,0.0,56.583333333333336,16.070833333333333,15.199999999999996,94.0,103.2,0.24283871527777778,0,0,0
2010-12-06,10.32,9.632083333333332,9.0,0.3677425749750422,15.81,10.04,0.0,-3.483333333333333,0.0,55.208333333333336,14.25,15.199999999999996,93.28750000000001,103.2,0.24471377314814816,0,0,0
2010-12-07,9.13,8.050416666666667,7.25,0.7336002890252769,15.44,9.79,0.0,-4.345833333333333,0.0,53.875,8.479166666666666,3.6416666666666635,82.85000000000001,103.2,0.24663061342592593,0,0,0
2010-12-12,6.64,6.322916666666667,6.06,0.19970585253374984,15.42,9.52,2.4,-5.804166666666667,1.9600000000000002,62.541666666666664,26.879166666666666,12.22083333333333,27.420833333333338,115.12083333333334,0.25680462962962963,0,0,0
2010-12-13,6.34,4.727916666666666,3.31,1.0679316830725387,15.18,9.37,0.0,-11.458333333333334,0.0,55.75,14.116666666666667,14.299999999999997,29.50000000000001,116.02499999999999,0.2589587384259259,0,0,0
2010-12-14,4.4,3.3825000000000003,2.87,0.48674830564006916,15.61,9.51,0.0,-7.7875000000000005,0.0,44.583333333333336,5.3125,14.299999999999997,17.941666666666674,113.40000000000002,0.26117939814814817,0,0,0
